key,team,kind,class,supportType,label,weapon,secondaryWeapon,hp,speed,size,sight,rotationSpeed,cost,color,driveType,armor_front,armor_side,armor_rear,turret_speed,turret_accel,hullTurnAccel,crew,year,rwm_ref,w_type,w_fire,w_range,w_damage,w_cooldown,w_accuracy,w_supp,w_pen,w_blast
american_m_3,american,m3,vehicle,,M3 Halftrack APC (HMG M2 Cal.50),rwm_american_m_3,,60,6.6,0.9,19,1.4,2,#5d6b4a,tracked,15,13,11,3,1.5,0.9,2,1942,M3 Halftrack APC (HMG M2 Cal.50),gun,direct,41,60,0.3,0.68,8,18,0
american_m_8,american,greyhound,vehicle,,M8 Greyhound (37mm gun m6),rwm_american_m_8,,180,9,0.9,18,1.4,4,#5d6b4a,tracked,16,14,11,3,1.5,0.9,4,1942,M8 Greyhound (37mm gun m6),gun,direct,52,110,3.5,0.68,8,33,0
american_willys_jeep50,american,willy_50cal,vehicle,,Willys MB Jeep (M2 cal.50 MG),rwm_american_willys_jeep50,,60,9,0.9,20,1.4,2,#5d6b4a,tracked,10,9,7,3,1.5,0.9,2,1942,Willys MB Jeep (M2 cal.50 MG),gun,direct,47,60,0.3,0.68,8,18,0
american_gun100,american,us_37mm_atg,support,,37mm At Gun M1A1 L/57,,,240,1.62,0.65,20,4,5,#5d6b4a,,40,34,28,,,,,1942,37mm At Gun M1A1 L/57,at,none,,,,,,,
american_75mm_gorn_japan,american,57mm_atg,support,,57mm Anti-Tank Gun M1,,,270,1.25,0.65,20,4,6,#5d6b4a,,40,34,28,,,,,1942,57mm Anti-Tank Gun M1,at,none,,,,,,,
american_atg9,american,us_76_2mm,support,,"US 3.00 inch AT-Gun M5 L/53 (76,2mm)",,,300,1.06,0.65,20,4,6,#5d6b4a,,40,34,28,,,,,1942,"US 3.00 inch AT-Gun M5 L/53 (76,2mm)",at,none,,,,,,,
american_afaus,american,bazooka,support,,US GI (M1A1 Bazooka),rwm_american_afaus,,60,1.49,0.65,20,4,2,#5d6b4a,,100,85,70,,,,,1943,US GI (M1A1 Bazooka),at,direct,38,450,6,0.82,10,180,0
american_afaus_2,american,ar_bazooka,support,,US Ranger (M1A1 Bazooka),rwm_american_afaus_2,,60,2.64,0.65,20,4,2,#5d6b4a,,100,85,70,,,,,1943,US Ranger (M1A1 Bazooka),at,direct,41,450,6,0.82,10,180,0
american_ussr_motik,american,hd_bike,vehicle,,US WLA 45 Harley (1x Browning Cal.30),rwm_american_ussr_motik,,30,9,0.9,25,3,2,#5d6b4a,wheeled,20,17,14,,,2.5,2,1942,US WLA 45 Harley (1x Browning Cal.30),gun,direct,47,55,0.3,0.68,8,17,0
american_ujeep,american,us_jeep,vehicle,,Willys MB Jeep,,,42,9,0.9,17,3,2,#5d6b4a,wheeled,20,17,14,,,2.5,1,1942,Willys MB Jeep,gun,none,,,,,,,
american_rusaltan,american,us_crew,infantry,,US Crew (M1A1 Thompson .45),rwm_american_rusaltan,,30,1.65,0.5,18,8,2,#5d6b4a,,0,0,0,,,,,1942,US Crew (M1A1 Thompson .45),gun,direct,32,40,0.3,0.68,8,0,0
american_pilot,american,us_pilot,infantry,,US Pilot (M1911 Colt .45),rwm_american_pilot,,60,1.98,0.5,18,8,2,#5d6b4a,,0,0,0,,,,,1942,US Pilot (M1911 Colt .45),gun,direct,32,60,0.73,0.68,8,0,0
american_machgun,american,us_hmg,support,,M2 Browning .50CAL,,,30,1.65,0.65,19,4,2,#5d6b4a,,0,0,0,,,,,1942,M2 Browning .50CAL,gun,none,,,,,,,
american_br_tg_ho_ki,american,dodge_1_25t,support,supply,Dodge 1.25ton Truck,,,114,9,0.65,12,4,3,#5d6b4a,,0,0,0,,,,2,1942,Dodge 1.25ton Truck,gun,none,,,,,,,
american_dougm,american,us_medic_truck,support,supply,GMC CCKW-353 6X6 Jimmy (mobile hospital),,,114,8.58,0.65,12,4,3,#5d6b4a,,0,0,0,,,,2,1942,GMC CCKW-353 6X6 Jimmy (mobile hospital),gun,none,,,,,,,
american_doug,american,gmc_6x6_jimmy,support,supply,GMC CCKW-353 6X6 Jimmy-Truck,,,114,8.58,0.65,12,4,3,#5d6b4a,,0,0,0,,,,2,1942,GMC CCKW-353 6X6 Jimmy-Truck,gun,none,,,,,,,
american_dukw_amphi,american,dukw,support,supply,GMC DUKW Amphibious Truck,,,108,5.94,0.65,12,4,3,#5d6b4a,,0,0,0,,,,2,1942,GMC DUKW Amphibious Truck,gun,none,,,,,,,
american_agit_usa,american,a_m4_tractor,support,supply,M4 High-speed artillery tractor,,,168,6.6,0.65,12,4,4,#5d6b4a,,0,0,0,,,,2,1942,M4 High-speed artillery tractor,gun,none,,,,,,,
american_mack6_6,american,mack_6x6,support,supply,Mack NR 6X6 truck,,,270,8.58,0.65,12,4,6,#5d6b4a,,0,0,0,,,,2,1942,Mack NR 6X6 truck,gun,none,,,,,,,
american_m2a1,american,m2a1,support,,105mm Field Howitzer M2A1 L/22.5,,,228,0.6,0.65,20,4,5,#5d6b4a,,0,0,0,,,,,1942,105mm Field Howitzer M2A1 L/22.5,mortar,none,,,,,,,
american_gunm1a1,american,m1a1,support,,75mm Pack Howitzer M1A1 L/16,,,270,0.6,0.65,20,4,6,#5d6b4a,,0,0,0,,,,,1942,75mm Pack Howitzer M1A1 L/16,mortar,none,,,,,,,
american_m40,american,m40,support,,HMC M40 (155mm Gun M1A1 L/45 Long Tom),,,480,3.96,0.65,17,4,9,#5d6b4a,,0,0,0,,,,5,1942,HMC M40 (155mm Gun M1A1 L/45 Long Tom),mortar,none,,,,,,,
american_shermrl,american,calliope,support,,M4 Sherman Calliope (60x4.50 inch Rockets),,,330,4.62,0.65,17,4,7,#5d6b4a,,0,0,0,,,,3,1942,M4 Sherman Calliope (60x4.50 inch Rockets),mortar,none,,,,,,,
american_gunm59h,american,m59_155mm,support,,M59 howitzer 'LONG TOM' 155mm,,,210,0.6,0.65,20,4,5,#5d6b4a,,0,0,0,,,,,1942,M59 howitzer 'LONG TOM' 155mm,mortar,none,,,,,,,
american_m_7_priest,american,priest,support,,"M7 HMC Priest (105mm Howitzer L/22,5)",,,270,4.55,0.65,12,4,6,#5d6b4a,,0,0,0,,,,6,1942,"M7 HMC Priest (105mm Howitzer L/22,5)",mortar,none,,,,,,,
american_b_17_new,american,us_b_17,aircraft,,(US)Boeing B-17 Flying Fortress,,,700,9,0.65,10,4,12,#5d6b4a,,0,0,0,,,,3,1942,(US)Boeing B-17 Flying Fortress,gun,none,,,,,,,
american_p_b17,american,us_a_20_g,aircraft,,(US)Douglas A-20 G Boston,,,700,9,0.65,10,4,12,#5d6b4a,,0,0,0,,,,3,1942,(US)Douglas A-20 G Boston,gun,none,,,,,,,
american_p_aerocna,american,a_aeronca,aircraft,,Aeronca L-3 (light Recon-Plane),,,108,9,0.65,10,4,3,#5d6b4a,,0,0,0,,,,1,1942,Aeronca L-3 (light Recon-Plane),gun,none,,,,,,,
american_p_li_2_amer,american,a_c_47,aircraft,,Douglas C-47 (Skytrain) Cargo-Plane,,,480,9,0.65,10,4,9,#5d6b4a,,0,0,0,,,,2,1942,Douglas C-47 (Skytrain) Cargo-Plane,gun,none,,,,,,,
american_p_li_2_amer_2,american,a_c_47,aircraft,,Douglas C-47 (Skytrain) Transport-Plane,,,480,9,0.65,10,4,9,#5d6b4a,,0,0,0,,,,2,1942,Douglas C-47 (Skytrain) Transport-Plane,gun,none,,,,,,,
american_p_o52,american,us_p_38,aircraft,,Lockheed P-38 J Lightning (Recon-Plane),,,120,9,0.65,10,4,3,#5d6b4a,,0,0,0,,,,1,1942,Lockheed P-38 J Lightning (Recon-Plane),gun,none,,,,,,,
american_p_b17_2,american,us_p_38,aircraft,,Lockheed P-38 Lighting (Bomber),,,700,9,0.65,10,4,12,#5d6b4a,,0,0,0,,,,1,1942,Lockheed P-38 Lighting (Bomber),gun,none,,,,,,,
american_p_38,american,us_p_38,aircraft,,"P-38 Lightning (10x HVAR Rockets 12,7mm)",,,420,9,0.65,10,4,8,#5d6b4a,,0,0,0,,,,1,1942,"P-38 Lightning (10x HVAR Rockets 12,7mm)",gun,none,,,,,,,
american_p_47,american,us_p_47_d,aircraft,,P-47 D Thunderbolt (2x 250kg bomb),,,180,9,0.65,10,4,4,#5d6b4a,,0,0,0,,,,1,1942,P-47 D Thunderbolt (2x 250kg bomb),gun,none,,,,,,,
american_p_51_mustang,american,us_p_51_d,aircraft,,P-51 D MUSTANG Fighter,,,180,9,0.65,10,4,4,#5d6b4a,,0,0,0,,,,1,1942,P-51 D MUSTANG Fighter,gun,none,,,,,,,
american_p_warhawk,american,us_p_47_c,aircraft,,Republic P-47 C Thunderbold - Fighter,,,300,9,0.65,10,4,6,#5d6b4a,,0,0,0,,,,1,1942,Republic P-47 C Thunderbold - Fighter,gun,none,,,,,,,
american_k_desamer2,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF,,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,1,1942,AMERIKANISCHES LANDUNGSSCHIFF,gun,none,,,,,,,
american_k_desamer2_2,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Jeeps),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,8,1942,AMERIKANISCHES LANDUNGSSCHIFF (Jeeps),gun,none,,,,,,,
american_k_desamer2_3,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (M10),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,4,1942,AMERIKANISCHES LANDUNGSSCHIFF (M10),gun,none,,,,,,,
american_k_desamer2_4,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (M3 Halftrack),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,5,1942,AMERIKANISCHES LANDUNGSSCHIFF (M3 Halftrack),gun,none,,,,,,,
american_k_desamer2_5,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (M8),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,5,1942,AMERIKANISCHES LANDUNGSSCHIFF (M8),gun,none,,,,,,,
american_k_desamer2_6,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Sherman 105),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,4,1942,AMERIKANISCHES LANDUNGSSCHIFF (Sherman 105),gun,none,,,,,,,
american_k_desamer2_7,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Sherman V),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,4,1942,AMERIKANISCHES LANDUNGSSCHIFF (Sherman V),gun,none,,,,,,,
american_k_desamer2_8,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Sherman flame),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,4,1942,AMERIKANISCHES LANDUNGSSCHIFF (Sherman flame),gun,none,,,,,,,
american_k_desamer2_9,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Sherman3),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,4,1942,AMERIKANISCHES LANDUNGSSCHIFF (Sherman3),gun,none,,,,,,,
american_k_desamer2_10,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Stuart),,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,5,1942,AMERIKANISCHES LANDUNGSSCHIFF (Stuart),gun,none,,,,,,,
american_k_desamer2_11,american,boot,ship,,AMERIKANISCHES LANDUNGSSCHIFF (Supplytrucks,,,162,3.96,1.6,9,4,4,#5d6b4a,,0,0,0,,,,4,1942,AMERIKANISCHES LANDUNGSSCHIFF (Supplytrucks,gun,none,,,,,,,
american_general,american,us_colonel,infantry,,US Colonel (M1911 Colt .45),rwm_american_general,,30,1.32,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US Colonel (M1911 Colt .45),rifle,direct,32,60,0.73,0.62,6,0,0
american_a_bar,american,us_bar,infantry,,US GI (Browning Automatic Rifle M1918A2),rwm_american_a_bar,,36,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US GI (Browning Automatic Rifle M1918A2),rifle,direct,49,55,0.3,0.62,6,0,0
american_hmgunet,american,us_hmg,infantry,,US GI (Browning Cal.30),rwm_american_hmgunet,,36,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US GI (Browning Cal.30),rifle,direct,49,55,0.3,0.62,6,0,0
american_a_4,american,us_flamer,infantry,,US GI (Flamethrower M2-2),rwm_american_a_4,,45,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US GI (Flamethrower M2-2),rifle,direct,15,70,0.3,0.62,6,0,0
american_a_2casq,american,us_m1,infantry,,"US GI (M1 Garand 7,62mm)",rwm_american_a_2casq,,30,2.15,0.5,19,8,2,#5d6b4a,,0,0,0,,,,,1942,"US GI (M1 Garand 7,62mm)",rifle,direct,43,100,1.33,0.62,6,0,0
american_a_1,american,us_smg,infantry,,US GI (M1A1 Thompson .45),rwm_american_a_1,,30,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US GI (M1A1 Thompson .45),rifle,direct,32,40,0.3,0.62,6,0,0
american_dm,american,us_mortar,infantry,,US GI (Mortar M19 60mm),rwm_american_dm,,36,1.15,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US GI (Mortar M19 60mm),rifle,indirect,73,40,3.75,0.62,6,0,3
american_a_1_2,american,us_smg_at,infantry,,US GI (Thompson .45 & Satchel Charge),rwm_american_a_1_2,,30,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US GI (Thompson .45 & Satchel Charge),rifle,direct,32,40,0.3,0.62,6,0,0
american_dmg42_team,american,us_mg_team,infantry,,US MG-Team (M1919A4 Browning Cal.30),rwm_american_dmg42_team,,72,1.52,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US MG-Team (M1919A4 Browning Cal.30),rifle,direct,48,75,0.3,0.62,6,0,0
american_aofice,american,us_officer,infantry,,US Officer (M1911 Colt .45),rwm_american_aofice,,30,2.31,0.5,23,8,2,#5d6b4a,,0,0,0,,,,,1942,US Officer (M1911 Colt .45),rifle,direct,32,60,0.73,0.62,6,0,0
american_hmgunet_2,american,ranger_hmg,infantry,,US Ranger (Browning Cal.30),rwm_american_hmgunet_2,,36,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US Ranger (Browning Cal.30),rifle,direct,48,55,0.3,0.62,6,0,0
american_us_ranger,american,ranger,infantry,,"US Ranger (M1 Garand 7,62mm)",rwm_american_us_ranger,,60,2.31,0.5,19,8,2,#5d6b4a,,0,0,0,,,,,1942,"US Ranger (M1 Garand 7,62mm)",rifle,direct,43,100,1.33,0.62,6,0,0
american_a_1_3,american,ranger_smg,infantry,,US Ranger (Thompson .45 & Satchel Charge),rwm_american_a_1_3,,72,2.97,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US Ranger (Thompson .45 & Satchel Charge),rifle,direct,32,90,0.3,0.62,6,0,0
american_general_2,american,us_major,infantry,,US Ranger Major (M1911 Colt .45),rwm_american_general_2,,30,1.32,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US Ranger Major (M1911 Colt .45),rifle,direct,32,60,0.73,0.62,6,0,0
american_aofice_2,american,a_officer,infantry,,US Ranger Officer (M1911 Colt .45),rwm_american_aofice_2,,72,2.97,0.5,25,8,2,#5d6b4a,,0,0,0,,,,,1942,US Ranger Officer (M1911 Colt .45),rifle,direct,32,60,0.73,0.62,6,0,0
american_asergeant,american,ranger_serg,infantry,,US Ranger Sergeant (M1A1 Thompson .45),rwm_american_asergeant,,72,2.97,0.5,23,8,2,#5d6b4a,,0,0,0,,,,,1942,US Ranger Sergeant (M1A1 Thompson .45),rifle,direct,32,90,0.3,0.62,6,0,0
american_elitsniperg,american,us_sniper,infantry,,"US Ranger Sniper (Springfield M1903 7,62mm)",rwm_american_elitsniperg,,30,1.65,0.5,21,8,2,#5d6b4a,,0,0,0,,,,,1942,"US Ranger Sniper (Springfield M1903 7,62mm)",rifle,direct,67,114,6,0.62,6,0,0
american_sapper,american,sapper,infantry,,US Sapper (2x Mines - explosive charges),rwm_american_sapper,,60,1.65,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US Sapper (2x Mines - explosive charges),rifle,direct,45,100,1.25,0.62,6,0,0
american_asergeant_2,american,us_sergeant,infantry,,US Sergeant (M1A1 Thompson .45),rwm_american_asergeant_2,,36,2.15,0.5,23,8,2,#5d6b4a,,0,0,0,,,,,1942,US Sergeant (M1A1 Thompson .45),rifle,direct,32,40,0.3,0.62,6,0,0
american_alrusmed,american,us_medic,infantry,,US medic (M1 Garand 7.62mm),rwm_american_alrusmed,,42,1.98,0.5,20,8,2,#5d6b4a,,0,0,0,,,,,1942,US medic (M1 Garand 7.62mm),rifle,direct,45,100,1.25,0.62,6,0,0
american_berge_t2,american,t2_recovery,support,,M31B2 (T2) recovery-tank,,,348,4.22,0.65,12,4,7,#5d6b4a,,0,0,0,,,,3,1942,M31B2 (T2) recovery-tank,gun,none,,,,,,,
american_m_10,american,m_10,vehicle,,GMC M-10 Wolverine (76.2mm M7 L/53),rwm_american_m_10,,402,5.18,0.9,8,1.4,8,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,GMC M-10 Wolverine (76.2mm M7 L/53),cannon,direct,58,450,4.5,0.8,12,180,0
american_hellcat,american,hellcat,vehicle,,GMC M18 Hellcat (76mm Gun M1A1),rwm_american_hellcat,,240,7.26,0.9,8,1.4,5,#5d6b4a,tracked,25,21,18,3,1.5,0.9,5,1942,GMC M18 Hellcat (76mm Gun M1A1),cannon,direct,58,450,3.5,0.8,12,180,0
american_m36,american,jackson,vehicle,,GMC M36 Jackson (90mm Gun M3 L/50),rwm_american_m36,,414,4.62,0.9,8,1.4,8,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,GMC M36 Jackson (90mm Gun M3 L/50),cannon,direct,70,450,4.5,0.8,12,180,0
american_chaffi,american,chaffee,vehicle,,M24 Chaffee (75mm Gun M6 L/39),rwm_american_chaffi,,360,6.6,0.9,8,1.4,7,#5d6b4a,tracked,30,26,21,3,1.5,0.9,4,1942,M24 Chaffee (75mm Gun M6 L/39),cannon,direct,55,450,4.25,0.8,12,159,0
american_m26pers,american,pershing,vehicle,,M26E3 Pershing (90mm M3 L/50 (T7)),rwm_american_m26pers,,700,4.88,0.9,8,1.4,12,#5d6b4a,tracked,100,85,70,3,1.5,0.9,5,1944,M26E3 Pershing (90mm M3 L/50 (T7)),cannon,direct,70,450,4.5,0.8,12,180,0
american_grant,american,lee,vehicle,,M3 Lee I (37mm m6 /75mm m2),rwm_american_grant,,348,4.22,0.9,8,1.4,7,#5d6b4a,tracked,37,31,26,3,1.5,0.9,6,1942,M3 Lee I (37mm m6 /75mm m2),cannon,direct,52,110,2.2,0.8,12,33,0
american_m4mine,american,sherman_mine,vehicle,,M4 Sherman 1 mine-clearer (75mm Gun M3),rwm_american_m4mine,,450,3.5,0.9,8,1.4,9,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,M4 Sherman 1 mine-clearer (75mm Gun M3),cannon,direct,54,450,4.25,0.8,12,150,0
american_sherm_3,american,us_sherman_i,vehicle,,M4 Sherman I (75mm Gun M3 L/40),rwm_american_sherm_3,,450,4.13,0.9,8,1.4,9,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,M4 Sherman I (75mm Gun M3 L/40),cannon,direct,54,450,4.25,0.8,12,150,0
